state,court_name,court_folder,year,case_id,case_folder,case_title,opinion_date,source_text_path,output_case_path,Case Number,Case Title,Court,Court Level,Courts Website,Date,Firm,Firm Address,Lawyer + Side,Metadata location (CSV file path),Opinion folder (PDF full path),State
Vermont,Vermont Environmental Division,environmental,2015,130-9-13 Vtec,130-9-13_Vtec,,05/20/2015,downloads/environmental/2015/130-9-13 Vtec/Hovey A250 130-9-13 Vtec alter.txt,environmental/2015/130-9-13_Vtec,130-9-13 Vtec,Hovey Act 250,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,05/20/2015,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2015/130-9-13 Vtec/Hovey A250 130-9-13 Vtec alter.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2015,130-9-13 Vtec,130-9-13_Vtec__2015_03_31,,03/31/2015,downloads/environmental/2015/130-9-13 Vtec/Hovey A250 Permit 130-9-13 Vtec Merits.txt,environmental/2015/130-9-13_Vtec__2015_03_31,130-9-13 Vtec,Hovey Act 250 Permit,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,03/31/2015,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2015/130-9-13 Vtec/Hovey A250 Permit 130-9-13 Vtec Merits.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2015,131-8-14 Vtec,131-8-14_Vtec,,06/24/2015,downloads/environmental/2015/131-8-14 Vtec/Vt Turquoise Hospitality LLC 131-8-14 Vtec MSJ.txt,environmental/2015/131-8-14_Vtec,131-8-14 Vtec,Vt Turquoise Hospitality LLC,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,06/24/2015,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2015/131-8-14 Vtec/Vt Turquoise Hospitality LLC 131-8-14 Vtec MSJ.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2015,134-10-13 Vtec,134-10-13_Vtec,,12/04/2015,downloads/environmental/2015/134-10-13 Vtec/All Metals Recycling 134-10-13 Vtec MSJ.txt,environmental/2015/134-10-13_Vtec,134-10-13 Vtec,All Metals Recycling,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,12/04/2015,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2015/134-10-13 Vtec/All Metals Recycling 134-10-13 Vtec MSJ.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2015,136-9-14 Vtec,136-9-14_Vtec,,08/28/2015,downloads/environmental/2015/136-9-14 Vtec/38 Thasha Lane 136-9-14 Vtec MSJ.txt,environmental/2015/136-9-14_Vtec,136-9-14 Vtec,38 Tasha Lane Water & Sewer Fees,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,08/28/2015,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2015/136-9-14 Vtec/38 Thasha Lane 136-9-14 Vtec MSJ.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2015,138-8-10 Vtec,138-8-10_Vtec,,03/06/2015,downloads/environmental/2015/138-8-10 Vtec/Wood NOV and Permit Applications 138-8-10 Vtec Clarification.txt,environmental/2015/138-8-10_Vtec,138-8-10 Vtec,Wood NOV and Permit Applications,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,03/06/2015,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2015/138-8-10 Vtec/Wood NOV and Permit Applications 138-8-10 Vtec Clarification.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2015,138-9-14 Vtec,138-9-14_Vtec,,05/08/2015,downloads/environmental/2015/138-9-14 Vtec/Waterfront Park A250 Amend 138-9-14 Vtec XMSJ.txt,environmental/2015/138-9-14_Vtec,138-9-14 Vtec,Waterfront park Act 250,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,05/08/2015,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2015/138-9-14 Vtec/Waterfront Park A250 Amend 138-9-14 Vtec XMSJ.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2015,140-9-14 Vtec,140-9-14_Vtec,,07/30/2015,downloads/environmental/2015/140-9-14 Vtec/Foss NOV 140-9-14 Vtec MSJ.txt,environmental/2015/140-9-14_Vtec,140-9-14 Vtec,Foss NOV (Shared Parking),Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,07/30/2015,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2015/140-9-14 Vtec/Foss NOV 140-9-14 Vtec MSJ.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2015,143-10-12 Vtec,143-10-12_Vtec,,12/23/2015,downloads/environmental/2015/143-10-12 Vtec/N.E. Materials Group LLC Act 250 143-10-12 Vtec Merits after Remand.txt,environmental/2015/143-10-12_Vtec,143-10-12 Vtec,"NE Materials Group, LLC Act 250",Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,12/23/2015,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2015/143-10-12 Vtec/N.E. Materials Group LLC Act 250 143-10-12 Vtec Merits after Remand.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2015,147-10-13 Vtec,147-10-13_Vtec,,12/11/2015,downloads/environmental/2015/147-10-13 Vtec/Killington Master Plan Act 250 147-10-13 Vtec EO Substitute Plan Exhibits.txt,environmental/2015/147-10-13_Vtec,147-10-13 Vtec,Killington Master Plan Act 250,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,12/11/2015,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2015/147-10-13 Vtec/Killington Master Plan Act 250 147-10-13 Vtec EO Substitute Plan Exhibits.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2015,147-10-13 Vtec,147-10-13_Vtec__2015_05_13,,05/13/2015,downloads/environmental/2015/147-10-13 Vtec/Killington Village Master Plan Act 250 147-10-13 Vtec Stay.txt,environmental/2015/147-10-13_Vtec__2015_05_13,147-10-13 Vtec,Killington Village Master Plan Act 250,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,05/13/2015,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2015/147-10-13 Vtec/Killington Village Master Plan Act 250 147-10-13 Vtec Stay.pdf,Vermont
